Date,QQQ Price
02/01/2020,208.0151
03/01/2020,206.1097
06/01/2020,207.4377
07/01/2020,207.4088
08/01/2020,208.9678
09/01/2020,210.7385
10/01/2020,210.1996
13/01/2020,212.6246
14/01/2020,211.7874
15/01/2020,211.874
16/01/2020,213.9045
17/01/2020,214.9631
21/01/2020,214.8668
22/01/2020,215.4346
23/01/2020,216.1275
24/01/2020,214.3087
27/01/2020,209.882
28/01/2020,213.1058
29/01/2020,213.4522
30/01/2020,214.2124
31/01/2020,210.8155
03/02/2020,214.0007
04/02/2020,218.8989
05/02/2020,219.6207
06/02/2020,221.5165
07/02/2020,220.5638
10/02/2020,223.2294
11/02/2020,223.2679
12/02/2020,225.4427
13/02/2020,225.154
14/02/2020,225.7988
18/02/2020,225.8854
19/02/2020,228.0506
20/02/2020,225.9335
21/02/2020,221.5934
24/02/2020,213.048
25/02/2020,207.2549
26/02/2020,208.323
27/02/2020,197.8915
28/02/2020,198.0455
02/03/2020,208.2653
03/03/2020,201.5868
04/03/2020,209.9975
05/03/2020,203.6173
06/03/2020,200.1818
09/03/2020,186.2763
10/03/2020,196.4191
11/03/2020,187.8641
12/03/2020,170.6386
13/03/2020,185.0926
16/03/2020,162.9208
17/03/2020,175.277
18/03/2020,169.9457
19/03/2020,170.9658
20/03/2020,164.268
23/03/2020,164.3864
24/03/2020,177.1161
25/03/2020,175.8045
26/03/2020,185.0625
27/03/2020,178.6976
30/03/2020,185.1975
31/03/2020,183.6159
01/04/2020,175.8142
02/04/2020,179.3823
03/04/2020,176.8364
06/04/2020,189.4793
07/04/2020,189.4021
08/04/2020,193.4236
09/04/2020,193.7032
13/04/2020,195.7959
14/04/2020,204.3113
15/04/2020,201.9679
16/04/2020,205.6518
17/04/2020,207.6191
20/04/2020,205.1599
21/04/2020,197.5896
22/04/2020,203.453
23/04/2020,203.019
24/04/2020,206.2207
27/04/2020,207.8795
28/04/2020,203.9641
29/04/2020,211.1969
30/04/2020,211.1101
01/05/2020,205.1599
04/05/2020,207.5516
05/05/2020,209.9046
06/05/2020,211.1969
07/05/2020,213.9164
08/05/2020,216.8481
11/05/2020,218.7865
12/05/2020,214.2057
13/05/2020,211.5248
14/05/2020,213.926
15/05/2020,215.3147
18/05/2020,219.3265
19/05/2020,218.7768
20/05/2020,223.1454
21/05/2020,220.7152
22/05/2020,221.4771
26/05/2020,220.8792
27/05/2020,222.0846
28/05/2020,221.7953
29/05/2020,225.0452
01/06/2020,225.7203
02/06/2020,227.2343
03/06/2020,228.2566
04/06/2020,226.6557
05/06/2020,231.1497
08/06/2020,232.9434
09/06/2020,234.6311
10/06/2020,237.447
11/06/2020,225.6817
12/06/2020,227.4754
15/06/2020,230.2432
16/06/2020,234.1971
17/06/2020,234.9397
18/06/2020,235.5761
19/06/2020,235.5376
22/06/2020,238.3625
23/06/2020,240.3912
24/06/2020,235.4354
25/06/2020,237.6766
26/06/2020,232.0639
29/06/2020,234.5949
30/06/2020,239.1933
01/07/2020,241.9852
02/07/2020,243.6275
06/07/2020,249.617
07/07/2020,247.8974
08/07/2020,251.1627
09/07/2020,253.2783
10/07/2020,255.0075
13/07/2020,249.7619
14/07/2020,251.5298
15/07/2020,252.0418
16/07/2020,250.3222
17/07/2020,250.612
20/07/2020,257.7221
21/07/2020,255.0365
22/07/2020,255.9349
23/07/2020,249.2499
24/07/2020,246.8831
27/07/2020,251.2882
28/07/2020,248.0906
29/07/2020,250.9501
30/07/2020,252.2639
31/07/2020,256.7657
03/08/2020,260.2338
04/08/2020,261.1999
05/08/2020,261.8471
06/08/2020,265.3152
07/08/2020,262.2529
10/08/2020,261.1323
11/08/2020,256.1861
12/08/2020,262.6296
13/08/2020,263.2286
14/08/2020,262.9194
17/08/2020,265.9722
18/08/2020,268.5322
19/08/2020,266.7257
20/08/2020,270.4256
21/08/2020,272.2998
24/08/2020,274
25/08/2020,276.1543
26/08/2020,282.0472
27/08/2020,281.1681
28/08/2020,282.5978
31/08/2020,284.868
01/09/2020,289.7369
02/09/2020,292.4805
03/09/2020,277.6517
04/09/2020,273.9517
08/09/2020,260.7845
09/09/2020,268.4452
10/09/2020,263.0933
11/09/2020,261.2675
14/09/2020,265.8176
15/09/2020,269.5852
16/09/2020,265.2863
17/09/2020,261.1419
18/09/2020,257.8091
21/09/2020,258.8039
22/09/2020,263.6121
23/09/2020,255.5629
24/09/2020,256.7529
25/09/2020,262.7221
28/09/2020,268.1785
29/09/2020,266.9692
30/09/2020,268.7977
01/10/2020,273.0642
02/10/2020,265.3826
05/10/2020,271.0422
06/10/2020,266.2049
07/10/2020,270.81
08/10/2020,272.2515
09/10/2020,276.4116
12/10/2020,284.9445
13/10/2020,284.9348
14/10/2020,282.5549
15/10/2020,280.6587
16/10/2020,279.1204
19/10/2020,274.5637
20/10/2020,275.1539
21/10/2020,274.941
22/10/2020,274.9314
23/10/2020,275.4731
26/10/2020,271.3421
27/10/2020,273.4608
28/10/2020,262.7995
29/10/2020,267.3949
30/10/2020,260.613
02/11/2020,261.1935
03/11/2020,265.7115
04/11/2020,277.5725
05/11/2020,284.8091
06/11/2020,285.0219
09/11/2020,279.1978
10/11/2020,274.1961
11/11/2020,280.3298
12/11/2020,279.014
13/11/2020,281.4617
16/11/2020,283.6578
17/11/2020,282.7581
18/11/2020,280.6684
19/11/2020,282.8645
20/11/2020,280.9296
23/11/2020,280.9393
24/11/2020,284.8865
25/11/2020,286.6376
27/11/2020,289.2787
30/11/2020,289.8689
01/12/2020,293.5839
02/12/2020,293.9612
03/12/2020,294.3772
04/12/2020,295.5769
07/12/2020,297.2505
08/12/2020,298.2567
09/12/2020,291.5039
10/12/2020,292.6745
11/12/2020,292.0263
14/12/2020,294.145
15/12/2020,297.2892
16/12/2020,298.9242
17/12/2020,300.8785
18/12/2020,299.9691
21/12/2020,299.4081
22/12/2020,300.2223
23/12/2020,298.7103
24/12/2020,300.0284
28/12/2020,303.0524
29/12/2020,303.3237
30/12/2020,303.3334
31/12/2020,304.0797
04/01/2021,299.7861
05/01/2021,302.2576
06/01/2021,298.0706
07/01/2021,305.2815
08/01/2021,309.2068
11/01/2021,304.7388
12/01/2021,304.2542
13/01/2021,306.3089
14/01/2021,304.6709
15/01/2021,302.2576
19/01/2021,306.6675
20/01/2021,313.8009
21/01/2021,316.3111
22/01/2021,315.4001
25/01/2021,318.0073
26/01/2021,318.4725
27/01/2021,309.5945
28/01/2021,311.4263
29/01/2021,304.8745
01/02/2021,312.4925
02/02/2021,317.5905
03/02/2021,316.3305
04/02/2021,320.0717
05/02/2021,321.1572
08/02/2021,323.3088
09/02/2021,323.241
10/02/2021,322.5044
11/02/2021,324.278
12/02/2021,326.0905
16/02/2021,325.2085
17/02/2021,323.6481
18/02/2021,322.233
19/02/2021,320.8277
22/02/2021,312.5118
23/02/2021,311.5814
24/02/2021,314.1498
25/02/2021,303.1977
26/02/2021,304.4674
01/03/2021,313.6264
02/03/2021,308.5962
03/03/2021,299.6407
04/03/2021,294.7365
05/03/2021,299.1755
08/03/2021,290.7046
09/03/2021,302.1704
10/03/2021,301.3078
11/03/2021,308.2473
12/03/2021,305.7468
15/03/2021,309.013
16/03/2021,310.7091
17/03/2021,311.9885
18/03/2021,302.4321
19/03/2021,303.4982
22/03/2021,309.1893
23/03/2021,307.8404
24/03/2021,302.6486
25/03/2021,302.1246
26/03/2021,306.6565
29/03/2021,306.5692
30/03/2021,305.0262
31/03/2021,309.694
01/04/2021,314.9731
05/04/2021,321.2615
06/04/2021,321.0383
07/04/2021,321.8147
08/04/2021,325.1724
09/04/2021,327.1423
12/04/2021,326.7153
13/04/2021,330.5291
14/04/2021,326.5601
15/04/2021,331.5093
16/04/2021,331.8975
19/04/2021,328.86
20/04/2021,326.463
21/04/2021,329.2579
22/04/2021,325.2888
23/04/2021,329.384
26/04/2021,331.5287
27/04/2021,330.0925
28/04/2021,328.9765
29/04/2021,330.1604
30/04/2021,327.9963
03/05/2021,326.2495
04/05/2021,320.3784
05/05/2021,319.3012
06/05/2021,321.7079
07/05/2021,324.3184
10/05/2021,316.1279
11/05/2021,315.6912
12/05/2021,307.5202
13/05/2021,309.8978
14/05/2021,316.7393
17/05/2021,314.8179
18/05/2021,312.6926
19/05/2021,313.0517
20/05/2021,319.1072
21/05/2021,317.341
24/05/2021,322.6783
25/05/2021,323.1247
26/05/2021,324.2504
27/05/2021,323.0374
28/05/2021,324.0564
01/06/2021,322.9792
02/06/2021,323.61
03/06/2021,320.2426
04/06/2021,325.677
07/06/2021,326.6474
08/06/2021,326.8027
09/06/2021,326.8803
10/06/2021,330.2865
11/06/2021,331.1502
14/06/2021,334.3235
15/06/2021,332.1401
16/06/2021,330.927
17/06/2021,335.129
18/06/2021,332.4991
21/06/2021,334.5654
22/06/2021,337.6841
23/06/2021,337.8493
24/06/2021,339.9381
25/06/2021,339.5203
28/06/2021,343.6495
29/06/2021,344.893
30/06/2021,344.349
01/07/2021,344.485
02/07/2021,348.4392
06/07/2021,349.9451
07/07/2021,350.6835
08/07/2021,348.5655
09/07/2021,350.7418
12/07/2021,352.1117
13/07/2021,352.1117
14/07/2021,352.7432
15/07/2021,350.2658
16/07/2021,347.4288
19/07/2021,344.5821
20/07/2021,348.585
21/07/2021,351.2762
22/07/2021,353.5982
23/07/2021,357.7273
26/07/2021,358.0091
27/07/2021,354.0645
28/07/2021,355.4247
29/07/2021,356.0562
30/07/2021,354.2006
02/08/2021,354.2297
03/08/2021,356.3769
04/08/2021,356.8918
05/08/2021,359.1555
06/08/2021,357.5816
09/08/2021,358.2422
10/08/2021,356.406
11/08/2021,355.7939
12/08/2021,357.0764
13/08/2021,358.3297
16/08/2021,358.4851
17/08/2021,355.3276
18/08/2021,351.9077
19/08/2021,353.6079
20/08/2021,357.2707
23/08/2021,362.6142
24/08/2021,363.7218
25/08/2021,364.1396
26/08/2021,361.8273
27/08/2021,365.3443
