Date,Price
02/01/2020,80.9698
03/01/2020,79.4597
06/01/2020,78.632
07/01/2020,80.0789
08/01/2020,80.0062
09/01/2020,80.5117
10/01/2020,80.0442
13/01/2020,80.9793
14/01/2020,81.1562
15/01/2020,80.2969
16/01/2020,81.5669
17/01/2020,82.1799
21/01/2020,82.1325
22/01/2020,82.6853
23/01/2020,83.3109
24/01/2020,82.4263
27/01/2020,79.2796
28/01/2020,81.1183
29/01/2020,79.6271
30/01/2020,79.6303
31/01/2020,76.7901
03/02/2020,77.6494
04/02/2020,80.0758
05/02/2020,81.9208
06/02/2020,81.9682
07/02/2020,80.0347
10/02/2020,81.1562
11/02/2020,82.7959
12/02/2020,84.0723
13/02/2020,84.1607
14/02/2020,83.8796
18/02/2020,82.8022
19/02/2020,84.8905
20/02/2020,83.6584
21/02/2020,81.172
24/02/2020,77.2829
25/02/2020,74.9798
26/02/2020,75.0809
27/02/2020,71.6151
28/02/2020,73.2295
02/03/2020,75.8233
03/03/2020,73.1537
04/03/2020,76.8912
05/03/2020,74.5754
06/03/2020,72.9452
09/03/2020,66.7151
10/03/2020,71.0938
11/03/2020,67.11
12/03/2020,59.7519
13/03/2020,66.1622
16/03/2020,56.0871
17/03/2020,61.022
18/03/2020,56.0082
19/03/2020,57.4488
20/03/2020,55.8123
23/03/2020,57.8058
24/03/2020,64.0581
25/03/2020,63.2229
26/03/2020,67.4742
27/03/2020,64.1264
30/03/2020,66.3583
31/03/2020,65.0553
01/04/2020,61.4952
02/04/2020,63.3276
03/04/2020,62.1292
06/04/2020,68.4664
07/04/2020,68.2223
08/04/2020,70.5049
09/04/2020,68.98
13/04/2020,69.7599
14/04/2020,72.9776
15/04/2020,70.806
16/04/2020,72.7937
17/04/2020,73.358
20/04/2020,71.7634
21/04/2020,68.2477
22/04/2020,72.3784
23/04/2020,71.6556
24/04/2020,73.1456
27/04/2020,74.122
28/04/2020,73.7384
29/04/2020,77.2383
30/04/2020,74.512
01/05/2020,70.8789
04/05/2020,71.4686
05/05/2020,72.6701
06/05/2020,73.5609
07/05/2020,74.2235
08/05/2020,76.4141
11/05/2020,76.3412
12/05/2020,74.3154
13/05/2020,72.8825
14/05/2020,74.8322
15/05/2020,73.2851
18/05/2020,76.6518
19/05/2020,76.4014
20/05/2020,79.2165
21/05/2020,77.2225
22/05/2020,77.5648
26/05/2020,78.3796
27/05/2020,79.5874
28/05/2020,77.8502
29/05/2020,79.8442
01/06/2020,79.4131
02/06/2020,81.1281
03/06/2020,83.4709
04/06/2020,84.2317
05/06/2020,86.2955
08/06/2020,86.118
09/06/2020,86.1846
10/06/2020,86.4889
11/06/2020,80.995
12/06/2020,82.0982
15/06/2020,83.2047
16/06/2020,84.8282
17/06/2020,85.489
18/06/2020,85.3302
19/06/2020,84.9172
22/06/2020,85.543
23/06/2020,85.848
24/06/2020,83.964
25/06/2020,84.5645
26/06/2020,82.9791
29/06/2020,83.8846
30/06/2020,86.0577
01/07/2020,84.9553
02/07/2020,85.9942
06/07/2020,88.2658
07/07/2020,87.2237
08/07/2020,88.4056
09/07/2020,89.5779
10/07/2020,89.2761
13/07/2020,87.8083
14/07/2020,89.2602
15/07/2020,89.1046
16/07/2020,88.771
17/07/2020,89.2189
20/07/2020,90.9822
21/07/2020,90.5184
22/07/2020,90.817
23/07/2020,89.4286
24/07/2020,88.0243
27/07/2020,90.7662
28/07/2020,89.0124
29/07/2020,90.8456
30/07/2020,92.6343
31/07/2020,92.2594
03/08/2020,93.9337
04/08/2020,95.3126
05/08/2020,95.2141
06/08/2020,95.1633
07/08/2020,94.1053
10/08/2020,94.1021
11/08/2020,93.1204
12/08/2020,96.1291
13/08/2020,95.1728
14/08/2020,95.1156
17/08/2020,96.1863
18/08/2020,95.6779
19/08/2020,95.1347
20/08/2020,94.2896
21/08/2020,94.9282
24/08/2020,95.9162
25/08/2020,96.8471
26/08/2020,97.1585
27/08/2020,96.0528
28/08/2020,97.8257
31/08/2020,97.6064
01/09/2020,99.5445
02/09/2020,102.4293
03/09/2020,96.7169
04/09/2020,95.7129
08/09/2020,91.2396
09/09/2020,93.724
10/09/2020,92.4532
11/09/2020,92.4278
14/09/2020,94.2769
15/09/2020,95.9035
16/09/2020,95.0044
17/09/2020,94.9567
18/09/2020,93.4699
21/09/2020,93.3015
22/09/2020,94.2641
23/09/2020,92.0893
24/09/2020,92.8673
25/09/2020,94.1428
28/09/2020,96.7351
29/09/2020,96.9615
30/09/2020,97.1273
01/10/2020,99.2062
02/10/2020,96.2313
05/10/2020,99.2381
06/10/2020,98.7662
07/10/2020,100.657
08/10/2020,101.9038
09/10/2020,103.6957
12/10/2020,105.2358
13/10/2020,105.0477
14/10/2020,104.6236
15/10/2020,104.343
16/10/2020,103.8456
19/10/2020,103.3227
20/10/2020,103.1537
21/10/2020,102.4618
22/10/2020,102.5032
23/10/2020,102.1429
26/10/2020,99.93
27/10/2020,99.5378
28/10/2020,96.2791
29/10/2020,98.7216
30/10/2020,97.4047
02/11/2020,97.7522
03/11/2020,99.5952
04/11/2020,103.0772
05/11/2020,107.707
06/11/2020,109.4639
09/11/2020,108.1884
10/11/2020,104.9425
11/11/2020,108.7241
12/11/2020,107.3817
13/11/2020,108.6986
16/11/2020,111.4025
17/11/2020,110.4842
18/11/2020,109.6616
19/11/2020,111.2814
20/11/2020,110.7616
23/11/2020,112.34
24/11/2020,112.9522
25/11/2020,112.7035
27/11/2020,114.0459
30/11/2020,115.3659
01/12/2020,117.2695
02/12/2020,117.6139
03/12/2020,117.7669
04/12/2020,120.9778
07/12/2020,121.59
08/12/2020,121.9822
09/12/2020,118.5449
10/12/2020,118.3791
11/12/2020,117.2281
14/12/2020,118.537
15/12/2020,120.1888
16/12/2020,120.2591
17/12/2020,120.4796
18/12/2020,119.7639
21/12/2020,119.2303
22/12/2020,119.0546
23/12/2020,118.16
24/12/2020,119.2143
28/12/2020,119.0833
29/12/2020,118.7766
30/12/2020,120.7671
31/12/2020,121.1505
04/01/2021,120.6425
05/01/2021,123.1091
06/01/2021,122.7097
07/01/2021,127.3394
08/01/2021,127.4065
11/01/2021,128.6973
