Date,Price
02/01/2020,12.47
03/01/2020,14.02
06/01/2020,13.85
07/01/2020,13.79
08/01/2020,13.45
09/01/2020,12.54
10/01/2020,12.56
13/01/2020,12.32
14/01/2020,12.39
15/01/2020,12.42
16/01/2020,12.32
17/01/2020,12.1
21/01/2020,12.85
22/01/2020,12.91
23/01/2020,12.98
24/01/2020,14.56
27/01/2020,18.23
28/01/2020,16.28
29/01/2020,16.39
30/01/2020,15.49
31/01/2020,18.84
03/02/2020,17.97
04/02/2020,16.05
05/02/2020,15.15
06/02/2020,14.96
07/02/2020,15.47
10/02/2020,15.04
11/02/2020,15.18
12/02/2020,13.74
13/02/2020,14.15
14/02/2020,13.68
18/02/2020,14.83
19/02/2020,14.38
20/02/2020,15.56
21/02/2020,17.08
24/02/2020,25.03
25/02/2020,27.85
26/02/2020,27.56
27/02/2020,39.16
28/02/2020,40.11
02/03/2020,33.42
03/03/2020,36.82
04/03/2020,31.99
05/03/2020,39.62
06/03/2020,41.94
09/03/2020,54.46
10/03/2020,47.3
11/03/2020,53.9
12/03/2020,75.47
13/03/2020,57.83
16/03/2020,82.69
17/03/2020,75.91
18/03/2020,76.45
19/03/2020,72
20/03/2020,66.04
23/03/2020,61.59
24/03/2020,61.67
25/03/2020,63.95
26/03/2020,61
27/03/2020,65.54
30/03/2020,57.08
31/03/2020,53.54
01/04/2020,57.06
02/04/2020,50.91
03/04/2020,46.8
06/04/2020,45.24
07/04/2020,46.7
08/04/2020,43.35
09/04/2020,41.67
13/04/2020,41.17
14/04/2020,37.76
15/04/2020,40.84
16/04/2020,40.11
17/04/2020,38.15
20/04/2020,43.83
21/04/2020,45.41
22/04/2020,41.98
23/04/2020,41.38
24/04/2020,35.93
27/04/2020,33.29
28/04/2020,33.57
29/04/2020,31.23
30/04/2020,34.15
01/05/2020,37.19
04/05/2020,35.97
05/05/2020,33.61
06/05/2020,34.12
07/05/2020,31.44
08/05/2020,27.98
11/05/2020,27.57
12/05/2020,33.04
13/05/2020,35.28
14/05/2020,32.61
15/05/2020,31.89
18/05/2020,29.3
19/05/2020,30.53
20/05/2020,27.99
21/05/2020,29.53
22/05/2020,28.16
26/05/2020,28.01
27/05/2020,27.62
28/05/2020,28.59
29/05/2020,27.51
01/06/2020,28.23
02/06/2020,26.84
03/06/2020,25.66
04/06/2020,25.81
05/06/2020,24.52
08/06/2020,25.81
09/06/2020,27.57
10/06/2020,27.57
11/06/2020,40.79
12/06/2020,36.09
15/06/2020,34.4
16/06/2020,33.67
17/06/2020,33.47
18/06/2020,32.94
19/06/2020,35.12
22/06/2020,31.77
23/06/2020,31.37
24/06/2020,33.84
25/06/2020,32.22
26/06/2020,34.73
29/06/2020,31.78
30/06/2020,30.43
01/07/2020,28.62
02/07/2020,27.68
06/07/2020,27.94
07/07/2020,29.43
08/07/2020,28.08
09/07/2020,29.26
10/07/2020,27.29
13/07/2020,32.19
14/07/2020,29.52
15/07/2020,27.76
16/07/2020,28
17/07/2020,25.68
20/07/2020,24.46
21/07/2020,24.84
22/07/2020,24.32
23/07/2020,26.08
24/07/2020,25.84
27/07/2020,24.74
28/07/2020,25.44
29/07/2020,24.1
30/07/2020,24.76
31/07/2020,24.46
03/08/2020,24.28
04/08/2020,23.76
05/08/2020,22.99
06/08/2020,22.65
07/08/2020,22.21
10/08/2020,22.13
11/08/2020,24.03
12/08/2020,22.28
13/08/2020,22.13
14/08/2020,22.05
17/08/2020,21.35
18/08/2020,21.51
19/08/2020,22.54
20/08/2020,22.72
21/08/2020,22.54
24/08/2020,22.37
25/08/2020,22.03
26/08/2020,23.27
27/08/2020,24.47
28/08/2020,22.96
31/08/2020,26.41
01/09/2020,26.12
02/09/2020,26.57
03/09/2020,33.6
04/09/2020,30.75
08/09/2020,31.46
09/09/2020,28.81
10/09/2020,29.71
11/09/2020,26.87
14/09/2020,25.85
15/09/2020,25.59
16/09/2020,26.04
17/09/2020,26.46
18/09/2020,25.83
21/09/2020,27.78
22/09/2020,26.86
23/09/2020,28.58
24/09/2020,28.51
25/09/2020,26.38
28/09/2020,26.19
29/09/2020,26.27
30/09/2020,26.37
01/10/2020,26.7
02/10/2020,27.63
05/10/2020,27.96
06/10/2020,29.48
07/10/2020,28.06
08/10/2020,26.36
09/10/2020,25
12/10/2020,25.07
13/10/2020,26.07
14/10/2020,26.4
15/10/2020,26.97
16/10/2020,27.41
19/10/2020,29.18
20/10/2020,29.35
21/10/2020,28.65
22/10/2020,28.11
23/10/2020,27.55
26/10/2020,32.46
27/10/2020,33.35
28/10/2020,40.28
29/10/2020,37.59
30/10/2020,38.02
02/11/2020,37.13
03/11/2020,35.55
04/11/2020,29.57
05/11/2020,27.58
06/11/2020,24.86
09/11/2020,25.75
10/11/2020,24.8
11/11/2020,23.45
12/11/2020,25.35
13/11/2020,23.1
16/11/2020,22.45
17/11/2020,22.71
18/11/2020,23.84
19/11/2020,23.11
20/11/2020,23.7
23/11/2020,22.66
24/11/2020,21.64
25/11/2020,21.25
27/11/2020,20.84
30/11/2020,20.57
01/12/2020,20.77
02/12/2020,21.17
03/12/2020,21.28
04/12/2020,20.79
07/12/2020,21.3
08/12/2020,20.68
09/12/2020,22.27
10/12/2020,22.52
11/12/2020,23.31
14/12/2020,24.72
15/12/2020,22.89
16/12/2020,22.5
17/12/2020,21.93
18/12/2020,21.57
21/12/2020,25.16
22/12/2020,24.23
23/12/2020,23.31
24/12/2020,21.53
28/12/2020,21.7
29/12/2020,23.08
30/12/2020,22.77
31/12/2020,22.75
04/01/2021,26.97
05/01/2021,25.34
06/01/2021,25.07
07/01/2021,22.37
08/01/2021,21.56
11/01/2021,24.08
12/01/2021,23.33
13/01/2021,22.21
14/01/2021,23.25
15/01/2021,24.34
19/01/2021,23.24
20/01/2021,21.58
21/01/2021,21.32
22/01/2021,21.91
25/01/2021,23.19
26/01/2021,23.02
27/01/2021,37.21
28/01/2021,30.21
29/01/2021,33.09
01/02/2021,30.24
02/02/2021,25.56
03/02/2021,22.91
04/02/2021,21.77
05/02/2021,20.87
08/02/2021,21.24
09/02/2021,21.63
10/02/2021,21.99
11/02/2021,21.25
12/02/2021,19.97
16/02/2021,21.46
17/02/2021,21.5
18/02/2021,22.49
19/02/2021,22.05
22/02/2021,23.45
23/02/2021,23.11
24/02/2021,21.34
25/02/2021,28.89
26/02/2021,27.95
01/03/2021,23.35
02/03/2021,24.1
03/03/2021,26.67
04/03/2021,28.57
05/03/2021,24.66
08/03/2021,25.47
09/03/2021,24.03
10/03/2021,22.56
11/03/2021,21.91
12/03/2021,20.69
15/03/2021,20.03
16/03/2021,19.79
17/03/2021,19.23
18/03/2021,21.58
19/03/2021,20.95
22/03/2021,18.88
23/03/2021,20.3
24/03/2021,21.2
25/03/2021,19.81
26/03/2021,18.86
29/03/2021,20.74
30/03/2021,19.61
31/03/2021,19.4
01/04/2021,17.33
05/04/2021,17.91
06/04/2021,18.12
07/04/2021,17.16
08/04/2021,16.95
09/04/2021,16.69
12/04/2021,16.91
13/04/2021,16.65
14/04/2021,16.99
15/04/2021,16.57
16/04/2021,16.25
19/04/2021,17.29
20/04/2021,18.68
21/04/2021,17.5
22/04/2021,18.71
23/04/2021,17.33
26/04/2021,17.64
27/04/2021,17.56
28/04/2021,17.28
29/04/2021,17.61
30/04/2021,18.61
03/05/2021,18.31
04/05/2021,19.48
05/05/2021,19.15
06/05/2021,18.39
07/05/2021,16.69
10/05/2021,19.66
11/05/2021,21.84
12/05/2021,27.59
13/05/2021,23.13
14/05/2021,18.81
17/05/2021,19.72
18/05/2021,21.34
19/05/2021,22.18
20/05/2021,20.67
21/05/2021,20.15
24/05/2021,18.4
25/05/2021,18.84
26/05/2021,17.36
27/05/2021,16.74
28/05/2021,16.76
01/06/2021,17.9
02/06/2021,17.48
03/06/2021,18.04
04/06/2021,16.42
07/06/2021,16.42
08/06/2021,17.07
09/06/2021,17.89
10/06/2021,16.1
11/06/2021,15.65
14/06/2021,16.39
15/06/2021,17.02
16/06/2021,18.15
17/06/2021,17.75
18/06/2021,20.7
21/06/2021,17.89
22/06/2021,16.66
23/06/2021,16.32
24/06/2021,15.97
25/06/2021,15.62
28/06/2021,15.76
29/06/2021,16.02
30/06/2021,15.83
01/07/2021,15.48
02/07/2021,15.07
06/07/2021,16.44
07/07/2021,16.2
08/07/2021,19
09/07/2021,16.18
12/07/2021,16.17
13/07/2021,17.12
14/07/2021,16.33
15/07/2021,17.01
16/07/2021,18.45
19/07/2021,22.5
20/07/2021,19.73
21/07/2021,17.91
22/07/2021,17.69
23/07/2021,17.2
26/07/2021,17.58
27/07/2021,19.36
28/07/2021,18.31
29/07/2021,17.7
30/07/2021,18.24
02/08/2021,19.46
03/08/2021,18.04
04/08/2021,17.97
05/08/2021,17.28
06/08/2021,16.15
09/08/2021,16.72
10/08/2021,16.79
11/08/2021,16.06
12/08/2021,15.59
13/08/2021,15.45
16/08/2021,16.12
17/08/2021,17.91
18/08/2021,21.57
19/08/2021,21.67
20/08/2021,18.56
23/08/2021,17.15
24/08/2021,17.22
25/08/2021,16.79
26/08/2021,18.84
27/08/2021,16.39
30/08/2021,16.19
31/08/2021,16.48
01/09/2021,16.11
02/09/2021,16.41
